class,f1_score,precision,recall,support
apple_pie,0.75,0.74,0.76,250.0
baby_back_ribs,0.87,0.85,0.89,250.0
baklava,0.94,0.95,0.93,250.0
beef_carpaccio,0.91,0.91,0.9,250.0
beef_tartare,0.83,0.88,0.79,250.0
beet_salad,0.84,0.83,0.84,249.0
beignets,0.9,0.88,0.93,249.0
bibimbap,0.96,0.97,0.94,250.0
bread_pudding,0.78,0.78,0.79,250.0
breakfast_burrito,0.84,0.87,0.8,249.0
bruschetta,0.87,0.89,0.85,250.0
caesar_salad,0.92,0.91,0.93,250.0
cannoli,0.95,0.97,0.93,249.0
caprese_salad,0.91,0.9,0.92,249.0
carrot_cake,0.88,0.9,0.87,248.0
ceviche,0.81,0.82,0.8,250.0
cheese_plate,0.94,0.93,0.95,250.0
cheesecake,0.8,0.81,0.79,247.0
chicken_curry,0.83,0.84,0.83,249.0
chicken_quesadilla,0.91,0.91,0.9,249.0
chicken_wings,0.93,0.94,0.93,250.0
chocolate_cake,0.77,0.71,0.84,249.0
chocolate_mousse,0.7,0.69,0.71,249.0
churros,0.96,0.97,0.95,250.0
clam_chowder,0.91,0.89,0.93,250.0
club_sandwich,0.91,0.94,0.88,250.0
crab_cakes,0.88,0.89,0.86,250.0
creme_brulee,0.95,0.94,0.95,249.0
croque_madame,0.92,0.92,0.92,249.0
cup_cakes,0.94,0.94,0.94,250.0
deviled_eggs,0.95,0.95,0.94,250.0
donuts,0.92,0.9,0.93,250.0
dumplings,0.92,0.92,0.92,250.0
edamame,0.99,0.99,0.99,250.0
eggs_benedict,0.91,0.9,0.92,249.0
escargots,0.93,0.92,0.94,249.0
falafel,0.87,0.9,0.84,250.0
filet_mignon,0.73,0.71,0.76,249.0
fish_and_chips,0.95,0.94,0.95,250.0
foie_gras,0.76,0.77,0.76,249.0
french_fries,0.93,0.92,0.93,250.0
french_onion_soup,0.89,0.86,0.93,250.0
french_toast,0.86,0.85,0.87,249.0
fried_calamari,0.92,0.94,0.89,250.0
fried_rice,0.92,0.94,0.9,249.0
frozen_yogurt,0.96,0.94,0.98,250.0
garlic_bread,0.87,0.91,0.84,250.0
gnocchi,0.86,0.87,0.84,243.0
greek_salad,0.92,0.95,0.9,250.0
grilled_cheese_sandwich,0.82,0.79,0.86,249.0
grilled_salmon,0.85,0.87,0.84,249.0
guacamole,0.93,0.95,0.91,250.0
gyoza,0.9,0.88,0.93,250.0
hamburger,0.9,0.92,0.88,250.0
hot_and_sour_soup,0.95,0.96,0.94,250.0
hot_dog,0.92,0.92,0.93,250.0
huevos_rancheros,0.82,0.88,0.77,248.0
hummus,0.89,0.9,0.87,248.0
ice_cream,0.84,0.89,0.79,250.0
lasagna,0.86,0.9,0.82,247.0
lobster_bisque,0.9,0.9,0.9,250.0
lobster_roll_sandwich,0.96,0.97,0.96,250.0
macaroni_and_cheese,0.89,0.93,0.85,246.0
macarons,0.98,0.96,0.99,250.0
miso_soup,0.95,0.96,0.95,250.0
mussels,0.95,0.94,0.95,250.0
nachos,0.9,0.92,0.88,250.0
omelette,0.81,0.84,0.78,250.0
onion_rings,0.94,0.94,0.94,250.0
oysters,0.96,0.94,0.98,250.0
pad_thai,0.95,0.94,0.96,250.0
paella,0.91,0.93,0.88,250.0
pancakes,0.92,0.91,0.94,249.0
panna_cotta,0.82,0.8,0.84,250.0
peking_duck,0.91,0.89,0.94,250.0
pho,0.93,0.89,0.98,249.0
pizza,0.93,0.95,0.92,249.0
pork_chop,0.71,0.71,0.7,250.0
poutine,0.93,0.92,0.94,250.0
prime_rib,0.84,0.79,0.9,250.0
pulled_pork_sandwich,0.89,0.87,0.91,250.0
ramen,0.91,0.91,0.91,250.0
ravioli,0.82,0.82,0.82,250.0
red_velvet_cake,0.91,0.9,0.91,250.0
risotto,0.83,0.8,0.86,246.0
samosa,0.92,0.91,0.93,249.0
sashimi,0.92,0.9,0.93,250.0
scallops,0.86,0.88,0.84,247.0
seaweed_salad,0.97,0.97,0.97,250.0
shrimp_and_grits,0.88,0.86,0.91,249.0
spaghetti_bolognese,0.97,0.99,0.95,249.0
spaghetti_carbonara,0.97,0.97,0.97,249.0
spring_rolls,0.91,0.93,0.9,250.0
steak,0.62,0.6,0.64,249.0
strawberry_shortcake,0.88,0.87,0.89,250.0
sushi,0.91,0.92,0.9,250.0
tacos,0.84,0.83,0.86,250.0
takoyaki,0.95,0.96,0.95,250.0
tiramisu,0.86,0.89,0.84,246.0
tuna_tartare,0.76,0.72,0.81,250.0
waffles,0.94,0.94,0.94,250.0
