epoch,acc,loss,lr,val_acc,val_loss
0,0.5965,1.5653,0.01,0.6676,1.2276
1,0.7433,0.9463,0.01,0.7430,0.9753
2,0.7870,0.7681,0.01,0.7821,0.8021
3,0.8186,0.6402,0.01,0.7770,0.8398
4,0.8406,0.5510,0.01,0.8127,0.7002
5,0.8597,0.4770,0.01,0.8190,0.6781
6,0.8763,0.4125,0.01,0.8169,0.7290
7,0.8894,0.3668,0.01,0.8063,0.7906
8,0.9060,0.3109,0.01,0.8197,0.7170
9,0.9151,0.2729,0.01,0.8322,0.6581
10,0.9247,0.2444,0.01,0.8326,0.7068
11,0.9640,0.1186,0.01,0.8736,0.5334
12,0.9756,0.0834,0.01,0.8751,0.5382
13,0.9850,0.0536,0.01,0.8827,0.5196
14,0.9882,0.0425,0.01,0.8786,0.5494
15,0.9906,0.0367,0.01,0.8846,0.5281
16,0.9919,0.0318,0.01,0.8840,0.5341
17,0.9930,0.0265,0.01,0.8864,0.5321
18,0.9940,0.0252,0.01,0.8853,0.5266
19,0.9941,0.0238,0.01,0.8859,0.5318
20,0.9950,0.0211,0.01,0.8875,0.5266
