epoch,acc,loss,lr,val_acc,val_loss
0,0.4705,2.1317,0.01,0.2080,4.2714
1,0.6162,1.4646,0.01,0.3219,3.5356
2,0.6696,1.2412,0.01,0.3503,3.2286
3,0.7011,1.1091,0.01,0.4150,2.7681
4,0.7240,1.0081,0.01,0.3649,3.1221
5,0.7450,0.9290,0.01,0.4851,2.2247
6,0.7606,0.8634,0.01,0.5791,1.8063
7,0.7744,0.8096,0.01,0.5960,1.6951
8,0.7864,0.7561,0.01,0.6079,1.5840
9,0.7951,0.7164,0.01,0.5672,1.8654
10,0.8060,0.6796,0.01,0.5787,1.8995
11,0.8173,0.6321,0.01,0.6151,1.6572
12,0.8672,0.4564,0.005,0.7468,0.9955
13,0.8813,0.4043,0.005,0.7886,0.8192
14,0.8899,0.3757,0.005,0.7909,0.8040
15,0.8998,0.3394,0.005,0.7530,1.0145
16,0.9030,0.3229,0.005,0.7657,0.9801
17,0.9084,0.3026,0.005,0.7597,1.0027
18,0.9308,0.2361,0.0025,0.8100,0.7471
19,0.9373,0.2123,0.0025,0.8095,0.7742
20,0.9425,0.1963,0.0025,0.8078,0.8015
21,0.9457,0.1867,0.0025,0.8055,0.8274
22,0.9544,0.1605,0.0025,0.8099,0.7958
23,0.9583,0.1503,0.0025,0.8162,0.7684
24,0.9606,0.1413,0.0025,0.8079,0.8079
