food,img_url,acc,rest_url,score,reviews,categories,price,address,name
hamburger,https://media-cdn.tripadvisor.com/media/photo-s/12/79/d5/85/photo7jpg.jpg,91.51,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
pulled_pork_sandwich,https://media-cdn.tripadvisor.com/media/photo-o/15/ad/1c/96/la-neverito-la-mas-querida.jpg,99.78,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
hamburger,https://media-cdn.tripadvisor.com/media/photo-o/15/ad/1c/8e/la-clasica-siempre-esta.jpg,100.0,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
prime_rib,https://media-cdn.tripadvisor.com/media/photo-s/16/a1/b0/d7/photo1jpg.jpg,42.87,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
nachos,https://media-cdn.tripadvisor.com/media/photo-s/16/a1/b0/d6/photo0jpg.jpg,100.0,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
cheesecake,https://media-cdn.tripadvisor.com/media/photo-s/16/7c/55/f8/tarta-de-queso.jpg,99.98,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
ice_cream,https://media-cdn.tripadvisor.com/media/photo-s/15/a5/70/de/img-20181207-wa0017-largejpg.jpg,47.09,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
hamburger,https://media-cdn.tripadvisor.com/media/photo-s/15/a5/70/dd/img-20181207-wa0023-largejpg.jpg,99.99,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
hamburger,https://media-cdn.tripadvisor.com/media/photo-s/15/a5/70/dc/img-20181207-wa0021-largejpg.jpg,88.84,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
scallops,https://media-cdn.tripadvisor.com/media/photo-s/15/a5/70/db/img-20181207-wa0015-largejpg.jpg,39.24,/Restaurant_Review-g187514-d13854205-Reviews-Wallmok-Madrid.html,4.5,49.0,"['comida rápida', 'americana', 'mediterránea']",16.5,"Calle Grecia 1 Pozuelo de Alarcon, 28224 Madrid España",Wallmok
